eruptions,waiting
0.688009,0.843569
-0.184594,0.123272
0.661831,0.267332
-1.380059,-0.524995
1.325009,1.203718
-1.406237,-1.677470
0.469858,1.131688
-1.301525,-1.533411
1.141763,0.411391
0.469858,0.915599
-1.275347,-0.524995
0.469858,0.195302
0.469858,0.339361
-0.943758,-0.236876
0.836352,1.419807
0.661831,-0.308906
0.792721,1.059658
-1.275347,-0.813114
0.862530,0.627480
-1.493498,-1.245292
0.906160,1.491836
-1.606936,-1.389351
1.080680,0.843569
-0.777963,-0.164846
0.208078,0.051243
0.670557,1.491836
-1.336429,-1.605440
0.775269,1.059658
0.469858,0.339361
0.469858,0.123272
0.469858,-0.020787
0.661831,0.699510
0.469858,0.123272
0.583297,0.555450
-1.380059,-1.677470
0.879982,1.347777
-1.318977,-1.389351
0.661831,0.987629
-1.519676,-1.677470
0.862530,0.483421
0.688009,1.203718
0.443680,1.059658
0.801447,0.267332
-1.301525,-0.957173
0.862530,0.555450
0.705461,1.203718
-1.345155,-1.965589
0.836352,1.491836
-0.402744,-0.020787
0.469858,-0.092817
-1.275347,-1.317322
0.469858,0.483421
-0.158415,0.123272
-1.423689,-0.524995
1.010872,0.411391
-1.423689,-1.101233
1.010872,1.059658
0.993420,-0.020787
0.688009,0.843569
-1.336429,-1.821529
1.325009,0.843569
-1.301525,-1.101233
0.731639,1.059658
0.644379,-0.308906
0.932338,0.987629
0.818900,0.195302
1.010872,0.051243
-1.275347,-1.389351
0.469858,0.699510
0.469858,1.491836
0.400050,0.339361
-1.275347,-1.317322
0.906160,1.707926
-1.449867,-1.749500
0.469858,1.203718
-0.620895,-0.669054
1.106858,0.843569
0.443680,0.267332
-1.318977,-0.741084
1.316283,0.771540
-1.406237,-1.605440
1.167941,0.915599
0.469858,0.411391
0.469858,0.411391
0.469858,0.627480
0.469858,0.411391
0.469858,0.267332
0.469858,0.123272
0.469858,0.627480
-1.275347,-0.452965
0.469858,0.843569
-1.336429,-1.749500
0.757817,1.491836
-1.563306,-1.821529
1.141763,1.059658
-1.318977,-1.533411
1.063228,0.411391
-1.336429,-1.317322
0.836352,1.059658
-1.161909,-1.461381
0.539667,0.915599
-1.214265,-1.029203
0.469858,1.131688
0.469858,0.483421
